"POC Name ","Address ","Postal Code ",Latitude,Longitude
BOSTON PIZZA,"7 7 JOHN ST, HUNTSVILLE, ONTARIO, P1H 1H2",P1H 1H2,45.3281943,-79.21515090000003
BOSTON PIZZA,"50 50 JOSEPHINE ST, NORTH BAY, ONTARIO, P1B 0A7",P1B 0A7,46.3336992,-79.46805340000003
BULL N''BARREL (THE),"670 OUELLETTE AVE, WINDSOR, ONTARIO, N9A 1B9",N9A 1B9,42.3132671,-83.03618749999998
BOSTON PIZZA,"4450 4450 WALKER ROAD, WINDSOR, ONTARIO, N8W 3T5",N8W 3T5,42.25496649999999,-82.96310399999999
TWO AMIGOS BAR   GRILL,"914 MURPHY ROAD, SARNIA. ONTARIO, N7S 5C4",N7S 5C4,42.989096,-82.36551700000001
MONTANA'S COOKHOUSE,"1399 1399 EXMOUTH ST, SARNIA, ONTARIO, N7S 3Y1",N7S 3Y1,42.9844433,-82.35380090000001
BOSTON PIZZA,"1400 1400 EXMOUTH ST, SARNIA, ONTARIO, N7S 3X9",N7S 3X9,42.9854169,-82.35102410000002
NORM'S PUB   GRILL,"1450 LONDON ROAD, SARNIA, ONTARIO, N7S 1P7",N7S 1P7,42.9821686,-82.34808830000003
BOSTON PIZZA,"780 780 ST. CLAIR ST, CHATHAM, ONTARIO, N7M 5J7",N7M 5J7,42.4314899,-82.22127949999998
BOSTON PIZZA,"490 490 HURON ROAD, GODERICH, ONTARIO, N7A 3X8",N7A 3X8,43.7304369,-81.69042289999999
BOSTON PIZZA,"3090 3090 WONDERLAND ROAD S, LONDON, ONTARIO, N6L 1A6",N6L 1A6,42.9359,-81.27985569999998
SHOELESS JOE'S WESTMOUNT,"805 WONDERLAND ROAD S, LONDON, ONTARIO, N6K 2Y5",N6K 2Y5,42.9472398,-81.2897514
BOSTON PIZZA,"1275 1275 FANSHAWE PARK ROAD W, LONDON, ONTARIO, N6G 5B4",N6G 5B4,43.0130437,-81.32917599999996
MONTANA'S COOKHOUSE,"1335 1345 FANSHAWE PARK ROAD W, LONDON, ONTARIO, N6G 5B4",N6G 5B4,43.01280939999999,-81.32997469999998
JACK ASTORS,"1070 Wellington Road South, LONDON, ONTARIO, N6E 3V8",N6E 3V8,42.9340549,-81.22180379999998
BOSTON PIZZA,"1090 WELLINGTON ROAD S, LONDON, ONTARIO, N6E 1M2",N6E 1M2,42.93267160000001,-81.22164129999999
MONTANA'S COOKHOUSE,"485 485 WELLINGTON ROAD S, LONDON, ONTARIO, N6C 4R3",N6C 4R3,42.9574654,-81.23075899999998
"MCCABE'S ","739 RICHMOND ST, LONDON, ONTARIO, N6A 3H2",N6A 3H2,42.9948831,-81.25326009999998
